CNES,CODUFMUN,REGSAUDE,MICR_REG,DISTRSAN,DISTRADM,TPGESTAO,PF_PJ,CPF_CNPJ,NIV_DEP,CNPJ_MAN,ESFERA_A,ATIVIDAD,RETENCAO,NATUREZA,CLIENTEL,TP_UNID,TURNO_AT,NIV_HIER,TERCEIRO,TP_LEITO,CODLEITO,QT_EXIST,QT_CONTR,QT_SUS,QT_NSUS,COMPETEN,NAT_JUR
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,7 ,69,  10,   0,  10,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,2 ,33,  57,   0,  57,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,1 ,09,  12,   0,  12,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,4 ,43,  29,   0,  29,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,4 ,10,  30,   0,  30,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,1 ,13,  30,   0,  30,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,1 ,03,  24,   0,  24,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,3 ,75,  35,   0,  30,   5,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,3 ,81,   7,   0,   0,   7,202401,1023
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,3 ,95,  10,   0,  10,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,3 ,74,   6,   0,   6,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,1 ,06,   4,   0,   4,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,1 ,15,   2,   0,   2,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,2 ,33,  15,   0,  15,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,1 ,08,   6,   0,   6,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,1 ,03,  26,   0,  26,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,1 ,12,  10,   0,  10,   0,202401,1155
0012556,330330,,,,,M,3,32556060003369,3,32556060000181,,03,,,03,05,06,,,6 ,34,   1,   0,   1,   0,202401,1155
0012599,330330,,,,,M,3,32556060002800,3,32556060000181,,03,,,03,07,06,,,3 ,78,  10,   0,  10,   0,202401,1155
0012599,330330,,,,,M,3,32556060002800,3,32556060000181,,03,,,03,07,06,,,5 ,45,  42,   0,  42,   0,202401,1155
0012599,330330,,,,,M,3,32556060002800,3,32556060000181,,03,,,03,07,06,,,3 ,77,   7,   0,   5,   2,202401,1155
0012599,330330,,,,,M,3,32556060002800,3,32556060000181,,03,,,03,07,06,,,3 ,80,   7,   0,   7,   0,202401,1155
0012599,330330,,,,,M,3,32556060002800,3,32556060000181,,03,,,03,07,06,,,5 ,68,   6,   0,   6,   0,202401,1155
0012599,330330,,,,,M,3,32556060002800,3,32556060000181,,03,,,03,07,06,,,7 ,07,   6,   0,   6,   0,202401,1155
0012599,330330,,,,,M,3,32556060002800,3,32556060000181,,03,,,03,07,06,,,3 ,66,   3,   0,   3,   0,202401,1155
0012610,330330,,,,,M,3,30079222000102,1,00000000000000,,03,,,03,07,06,,,7 ,07,  44,   0,  20,  24,202401,2062
0012718,330330,,,,,M,3,32556060002710,3,32556060000181,,03,,,03,07,06,,,6 ,47,  45,   0,  45,   0,202401,1155
0012769,330330,,,,,E,3,42498717001801,3,42498717000155,,04,,,03,07,06,,,3 ,75,  10,   0,   0,  10,202401,1023
0012769,330330,,,,,E,3,42498717001801,3,42498717000155,,04,,,03,07,06,,,6 ,49,  71,   0,  71,   0,202401,1023
0012823,330330,3306,,,,E,3,42498691000730,3,42498691000900,,03,,,02,07,06,,,2 ,33,   2,   0,   2,   0,202401,1023
0012823,330330,3306,,,,E,3,42498691000730,3,42498691000900,,03,,,02,07,06,,,6 ,47, 153,   0, 153,   0,202401,1023
0055859,330330,,,,,M,3,03146010000390,1,00000000000000,,04,,,03,07,06,,,3 ,78,   4,   0,   0,   4,202401,2062
0055859,330330,,,,,M,3,03146010000390,1,00000000000000,,04,,,03,07,06,,,3 ,81,  20,   0,   0,  20,202401,2062
0105317,330330,,,,,M,3,32556060003792,3,32556060000181,,03,,,02,05,06,,,3 ,75,  10,   0,  10,   0,202401,1155
0105317,330330,,,,,M,3,32556060003792,3,32556060000181,,03,,,02,05,06,,,2 ,33,  29,   0,  29,   0,202401,1155
0105317,330330,,,,,M,3,32556060003792,3,32556060000181,,03,,,02,05,06,,,1 ,03,  14,   0,  14,   0,202401,1155
0105317,330330,,,,,M,3,32556060003792,3,32556060000181,,03,,,02,05,06,,,3 ,95,   7,   0,   7,   0,202401,1155
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,1 ,03,   5,   0,   0,   5,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,3 ,85,  10,   0,   0,  10,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,3 ,75,  70,   0,   0,  70,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,2 ,40,  15,   0,   0,  15,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,1 ,06,   3,   0,   0,   3,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,1 ,08,  10,   0,   0,  10,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,1 ,09,   3,   0,   0,   3,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,1 ,13,  25,   0,  20,   5,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,2 ,32,   5,   0,   0,   5,202401,2062
0484644,330330,,,,,M,3,40258699000109,1,00000000000000,,04,,,03,05,06,,,2 ,33,  34,   0,  20,  14,202401,2062
2893908,330330,,,,,M,3,06047087014270,1,00000000000000,,04,,,01,07,06,,,3 ,80,  22,   0,   0,  22,202401,2046
2970546,330330,,,,,M,3,00440612000286,1,00000000000000,,04,,,03,62,03,,,7 ,07,   1,   0,   0,   1,202401,2240
2970546,330330,,,,,M,3,00440612000286,1,00000000000000,,04,,,03,62,03,,,1 ,09,   1,   0,   0,   1,202401,2240
3012476,330330,,,,,M,3,30063564000134,1,00000000000000,,04,,,03,05,03,,,3 ,66,   1,   0,   0,   1,202401,2054
3012476,330330,,,,,M,3,30063564000134,1,00000000000000,,04,,,03,05,03,,,3 ,74,   7,   0,   0,   7,202401,2054
3012476,330330,,,,,M,3,30063564000134,1,00000000000000,,04,,,03,05,03,,,2 ,33,  34,   0,   0,  34,202401,2054
3013383,330330,,,,,M,3,30110902000141,1,00000000000000,,04,,,01,05,06,,,1 ,03,   4,   0,   0,   4,202401,2062
3013383,330330,,,,,M,3,30110902000141,1,00000000000000,,04,,,01,05,06,,,3 ,74,  30,   0,   0,  30,202401,2062
3013383,330330,,,,,M,3,30110902000141,1,00000000000000,,04,,,01,05,06,,,3 ,66,   1,   0,   0,   1,202401,2062
3013383,330330,,,,,M,3,30110902000141,1,00000000000000,,04,,,01,05,06,,,2 ,33,  52,   0,   0,  52,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,2 ,33,  74,   0,   0,  74,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,3 ,75,  40,   0,   0,  40,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,3 ,85,  10,   0,   0,  10,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,3 ,95,   5,   0,   0,   5,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,2 ,32,  10,   0,   0,  10,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,1 ,09,   3,   0,   0,   3,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,2 ,40,  15,   0,   0,  15,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,1 ,06,   3,   0,   0,   3,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,1 ,03,   5,   0,   0,   5,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,1 ,08,  10,   0,   0,  10,202401,2062
3015327,330330,,,,,M,3,30119697000185,1,00000000000000,,04,,,03,05,06,,,1 ,13,   5,   0,   0,   5,202401,2062
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,4 ,10,   9,   0,   0,   9,202401,2054
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,1 ,03,  22,   0,   0,  22,202401,2054
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,3 ,80,   6,   0,   0,   6,202401,2054
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,3 ,77,   4,   0,   0,   4,202401,2054
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,3 ,75,  20,   0,   0,  20,202401,2054
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,5 ,68,   2,   0,   0,   2,202401,2054
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,2 ,33,  27,   0,   0,  27,202401,2054
3016501,330330,,,,,M,3,30079461000162,1,00000000000000,,04,,,03,05,06,,,7 ,07,  10,   0,   0,  10,202401,2054
3022080,330330,,,,,M,3,00247125000110,1,00000000000000,,04,,,03,07,06,,,3 ,81,  40,   0,   0,  40,202401,2062
3065634,330330,,,,,M,3,60884855001207,1,00000000000000,,04,,,03,05,06,,,1 ,67,   7,   0,   0,   7,202401,2054
3065634,330330,,,,,M,3,60884855001207,1,00000000000000,,04,,,03,05,06,,,2 ,33, 157,   0,   0, 157,202401,2054
3065634,330330,,,,,M,3,60884855001207,1,00000000000000,,04,,,03,05,06,,,3 ,80,  10,   0,   0,  10,202401,2054
3065634,330330,,,,,M,3,60884855001207,1,00000000000000,,04,,,03,05,06,,,3 ,77,   6,   0,   0,   6,202401,2054
3065634,330330,,,,,M,3,60884855001207,1,00000000000000,,04,,,03,05,06,,,3 ,74,  30,   0,   0,  30,202401,2054
3094464,330330,,,,,M,3,00697400000106,1,00000000000000,,04,,,03,36,04,,,1 ,11,   2,   0,   0,   2,202401,2062
3101665,330330,,,,,M,3,04042426000169,1,00000000000000,,04,,,01,62,04,,,7 ,73,   1,   0,   0,   1,202401,2062
3114252,330330,,,,,M,3,39256128000156,1,00000000000000,,04,,,03,62,03,,,1 ,11,   3,   0,   0,   3,202401,2062
3296598,330330,,,,,M,3,00000000000000,3,34906284000100,,01,,,03,70,06,,,6 ,84,   8,   0,   8,   0,202401,1279
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,03,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,05,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,14,   3,   0,   0,   3,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,15,   1,   0,   0,   1,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,06,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,7 ,07,   5,   0,   0,   5,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,08,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,09,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,01,   1,   0,   0,   1,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,02,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,2 ,36,   1,   0,   0,   1,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,2 ,40,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,3 ,74,  10,   0,   0,  10,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,16,   1,   0,   0,   1,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,2 ,32,   4,   0,   0,   4,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,2 ,33,   2,   0,   0,   2,202401,2062
3296806,330330,,,,,M,3,39831128000485,1,00000000000000,,04,,,03,05,06,,,1 ,13,   2,   0,   0,   2,202401,2062
3450678,330330,,,,,M,3,31824766000114,1,00000000000000,,04,,,03,07,04,,,6 ,47,  60,   0,   0,  60,202401,2062
3450678,330330,,,,,M,3,31824766000114,1,00000000000000,,04,,,03,07,04,,,7 ,73,  10,   0,   0,  10,202401,2062
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,1 ,02,  18,   0,   0,  18,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,1 ,03,  10,   0,   0,  10,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,3 ,79,   6,   0,   0,   6,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,3 ,76,  63,   0,   0,  63,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,3 ,75,  22,   0,   0,  22,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,2 ,32,   4,   0,   0,   4,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,1 ,15,   5,   0,   0,   5,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,1 ,13,   2,   0,   0,   2,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,3 ,66,   2,   0,   0,   2,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,2 ,33,  24,   0,   0,  24,202401,2054
3594432,330330,,,,,M,3,30145502000171,1,00000000000000,,04,,,03,05,06,,,1 ,09,   2,   0,   0,   2,202401,2054
5042488,330330,,,,,M,3,32556060003288,3,32556060000181,,04,,,03,07,06,,,2 ,41,   6,   0,   6,   0,202401,1155
5042488,330330,,,,,M,3,32556060003288,3,32556060000181,,04,,,03,07,06,,,4 ,10,  22,   0,  22,   0,202401,1155
5264359,330330,,,,,M,3,29366549000186,1,00000000000000,,04,,,01,36,03,,,2 ,33,  10,   0,   0,  10,202401,2054
5607949,330330,,,,,M,3,68564822000139,1,00000000000000,,04,,,03,62,04,,,1 ,03,   1,   0,   0,   1,202401,2062
5607949,330330,,,,,M,3,68564822000139,1,00000000000000,,04,,,03,62,04,,,7 ,07,   3,   0,   0,   3,202401,2062
5607949,330330,,,,,M,3,68564822000139,1,00000000000000,,04,,,03,62,04,,,1 ,11,   1,   0,   0,   1,202401,2062
5851831,330330,,,,,M,3,03146010000128,1,00000000000000,,04,,,03,36,06,,,3 ,81,  11,   0,   0,  11,202401,2062
5851831,330330,,,,,M,3,03146010000128,1,00000000000000,,04,,,03,36,06,,,3 ,78,  10,   0,   0,  10,202401,2062
6610706,330330,,,,,M,3,27774561000102,1,00000000000000,,03,,,03,36,03,,,1 ,11,   2,   0,   2,   0,202401,3999
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,1 ,02,  30,   0,   0,  30,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,4 ,43,  25,   0,   0,  25,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,4 ,10,  30,   0,   0,  30,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,1 ,01,  10,   0,   0,  10,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,7 ,07,  16,   0,   0,  16,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,1 ,03,  36,   0,   0,  36,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,2 ,44,  10,   0,   0,  10,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,3 ,80,  10,   0,   0,  10,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,3 ,77,  10,   0,   0,  10,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,2 ,42,   7,   0,   0,   7,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,2 ,33,  35,   0,   0,  35,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,3 ,74,  33,   0,   0,  33,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,5 ,68,   7,   0,   0,   7,202401,2062
6734014,330330,,,,,M,3,31671480000308,1,00000000000000,,04,,,03,05,06,,,5 ,45,   7,   0,   0,   7,202401,2062
6821529,330330,,,,,M,3,29274024000706,1,00000000000000,,04,,,01,07,06,,,3 ,80,  22,   0,   0,  22,202401,2062
6861873,330330,,,,,M,3,00247125000200,1,00000000000000,,04,,,01,07,06,,,3 ,92,  30,   0,   0,  30,202401,2062
6861873,330330,,,,,M,3,00247125000200,1,00000000000000,,04,,,01,07,06,,,3 ,75,   4,   0,   0,   4,202401,2062
6861873,330330,,,,,M,3,00247125000200,1,00000000000000,,04,,,01,07,06,,,3 ,81,  10,   0,   0,  10,202401,2062
6861873,330330,,,,,M,3,00247125000200,1,00000000000000,,04,,,01,07,06,,,3 ,78,  10,   0,   0,  10,202401,2062
6861873,330330,,,,,M,3,00247125000200,1,00000000000000,,04,,,01,07,06,,,4 ,43,   9,   0,   0,   9,202401,2062
6861873,330330,,,,,M,3,00247125000200,1,00000000000000,,04,,,01,07,06,,,4 ,10,  30,   0,   0,  30,202401,2062
7202180,330330,,,,,M,3,39490024000101,1,00000000000000,,04,,,01,05,06,,,2 ,33,  37,   0,   0,  37,202401,2062
7884680,330330,,,,,M,3,28630531000349,1,00000000000000,,04,,,03,05,06,,,7 ,07,  20,   0,   0,  20,202401,2143
7884680,330330,,,,,M,3,28630531000349,1,00000000000000,,04,,,03,05,06,,,3 ,74,  25,   0,   0,  25,202401,2143
7884680,330330,,,,,M,3,28630531000349,1,00000000000000,,04,,,03,05,06,,,2 ,33, 150,   0,   0, 150,202401,2143
7884680,330330,,,,,M,3,28630531000349,1,00000000000000,,04,,,03,05,06,,,3 ,75,  25,   0,   0,  25,202401,2143
9839674,330330,,,,,M,3,14734029000454,1,00000000000000,,04,,,02,05,06,,,2 ,33,  30,   0,   0,  30,202401,2062
